ID,Prob1
0, 0.38
1, 0.27
2, 0.38
3, 0.23
4, 0.24
5, 0.21
6, 0.31
7, 0.75
8, 0.74
9, 0.19
10, 0.36
11, 0.24
12, 0.42
13, 0.64
14, 0.37
15, 0.23
16, 0.25
17, 0.15
18, 0.20
19, 0.48
20, 0.32
21, 0.21
22, 0.37
23, 0.35
24, 0.21
25, 0.42
26, 0.36
27, 0.22
28, 0.24
29, 0.80
30, 0.20
31, 0.31
32, 0.21
33, 0.22
34, 0.51
35, 0.50
36, 0.29
37, 0.47
38, 0.35
39, 0.49
40, 0.24
41, 0.18
42, 0.38
43, 0.34
44, 0.38
45, 0.34
46, 0.31
47, 0.57
48, 0.28
49, 0.37
50, 0.58
51, 0.22
52, 0.37
53, 0.21
54, 0.58
55, 0.16
56, 0.55
57, 0.19
58, 0.22
59, 0.24
60, 0.31
61, 0.40
62, 0.33
63, 0.21
64, 0.26
65, 0.26
66, 0.72
67, 0.18
68, 0.25
69, 0.25
70, 0.82
71, 0.84
72, 0.30
73, 0.30
74, 0.21
75, 0.43
76, 0.20
77, 0.40
78, 0.22
79, 0.33
80, 0.30
81, 0.24
82, 0.24
83, 0.39
84, 0.39
85, 0.27
86, 0.62
87, 0.36
88, 0.21
89, 0.53
90, 0.16
91, 0.27
92, 0.22
93, 0.51
94, 0.17
95, 0.24
96, 0.47
97, 0.19
98, 0.17
99, 0.53
100, 0.11
101, 0.51
102, 0.30
103, 0.18
104, 0.14
105, 0.27
106, 0.40
107, 0.25
108, 0.24
109, 0.35
110, 0.39
111, 0.23
112, 0.21
113, 0.28
114, 0.53
115, 0.14
116, 0.18
117, 0.26
118, 0.39
119, 0.37
120, 0.24
121, 0.50
122, 0.67
123, 0.45
124, 0.18
125, 0.43
126, 0.38
127, 0.35
128, 0.34
129, 0.16
130, 0.55
131, 0.44
132, 0.17
133, 0.35
134, 0.19
135, 0.28
136, 0.19
137, 0.17
138, 0.28
139, 0.10
140, 0.20
141, 0.43
142, 0.58
143, 0.15
144, 0.24
145, 0.25
146, 0.43
147, 0.23
148, 0.28
149, 0.43
150, 0.51
151, 0.25
152, 0.52
153, 0.19
154, 0.75
155, 0.25
156, 0.35
157, 0.24
158, 0.16
159, 0.29
160, 0.38
161, 0.22
162, 0.26
163, 0.25
164, 0.08
165, 0.36
166, 0.18
167, 0.35
168, 0.29
169, 0.17
170, 0.20
171, 0.39
172, 0.19
173, 0.52
174, 0.26
175, 0.24
176, 0.23
177, 0.24
178, 0.62
179, 0.13
180, 0.56
181, 0.73
182, 0.14
183, 0.20
184, 0.67
185, 0.25
186, 0.72
187, 0.72
188, 0.29
189, 0.26
190, 0.84
191, 0.33
192, 0.47
193, 0.23
194, 0.27
195, 0.39
196, 0.17
197, 0.31
198, 0.29
199, 0.18
200, 0.16
201, 0.25
202, 0.79
203, 0.19
204, 0.37
205, 0.18
206, 0.18
207, 0.30
208, 0.32
209, 0.61
210, 0.38
211, 0.36
212, 0.31
213, 0.50
214, 0.38
215, 0.27
216, 0.33
217, 0.19
218, 0.15
219, 0.37
220, 0.16
221, 0.38
222, 0.14
223, 0.55
224, 0.42
225, 0.22
226, 0.43
227, 0.30
228, 0.45
229, 0.21
230, 0.27
231, 0.65
232, 0.31
233, 0.36
234, 0.35
235, 0.40
236, 0.27
237, 0.37
238, 0.64
239, 0.46
240, 0.51
241, 0.21
242, 0.29
243, 0.12
244, 0.34
245, 0.29
246, 0.17
247, 0.71
248, 0.33
249, 0.23
250, 0.79
251, 0.30
252, 0.11
253, 0.21
254, 0.36
255, 0.15
256, 0.33
257, 0.23
258, 0.84
259, 0.21
260, 0.70
261, 0.41
262, 0.33
263, 0.16
264, 0.23
265, 0.28
266, 0.18
267, 0.26
268, 0.20
269, 0.51
270, 0.24
271, 0.15
272, 0.19
273, 0.30
274, 0.51
275, 0.30
276, 0.75
277, 0.84
278, 0.25
279, 0.19
280, 0.81
281, 0.23
282, 0.19
283, 0.27
284, 0.26
285, 0.47
286, 0.32
287, 0.43
288, 0.21
289, 0.24
290, 0.23
291, 0.29
292, 0.21
293, 0.29
294, 0.25
295, 0.14
296, 0.37
297, 0.11
298, 0.36
299, 0.62
300, 0.31
301, 0.34
302, 0.63
303, 0.46
304, 0.23
305, 0.44
306, 0.34
307, 0.21
308, 0.21
309, 0.61
310, 0.32
311, 0.24
312, 0.41
313, 0.21
314, 0.64
315, 0.53
316, 0.11
317, 0.42
318, 0.34
319, 0.46
320, 0.29
321, 0.30
322, 0.27
323, 0.33
324, 0.19
325, 0.33
326, 0.35
327, 0.37
328, 0.27
329, 0.20
330, 0.19
331, 0.53
332, 0.36
333, 0.20
334, 0.36
335, 0.19
336, 0.22
337, 0.82
338, 0.38
339, 0.31
340, 0.45
341, 0.21
342, 0.17
343, 0.05
344, 0.29
345, 0.65
346, 0.56
347, 0.09
348, 0.16
349, 0.58
350, 0.15
351, 0.34
352, 0.20
353, 0.40
354, 0.33
355, 0.22
356, 0.12
357, 0.47
358, 0.20
359, 0.21
360, 0.26
361, 0.15
362, 0.19
363, 0.53
364, 0.26
365, 0.68
366, 0.24
367, 0.46
368, 0.18
369, 0.33
370, 0.26
371, 0.20
372, 0.39
373, 0.29
374, 0.37
375, 0.28
376, 0.46
377, 0.17
378, 0.57
379, 0.21
380, 0.44
381, 0.22
382, 0.27
383, 0.72
384, 0.32
385, 0.36
386, 0.36
387, 0.34
388, 0.26
389, 0.26
390, 0.18
391, 0.23
392, 0.60
393, 0.32
394, 0.42
395, 0.22
396, 0.60
397, 0.33
398, 0.32
399, 0.77
400, 0.40
401, 0.35
402, 0.07
403, 0.20
404, 0.31
405, 0.23
406, 0.53
407, 0.33
408, 0.27
409, 0.30
410, 0.09
411, 0.23
412, 0.42
413, 0.36
414, 0.26
415, 0.30
416, 0.30
417, 0.23
418, 0.20
419, 0.59
420, 0.40
421, 0.22
422, 0.27
423, 0.20
424, 0.34
425, 0.41
426, 0.21
427, 0.32
428, 0.19
429, 0.12
430, 0.37
431, 0.56
432, 0.17
433, 0.18
434, 0.60
435, 0.29
436, 0.38
437, 0.57
438, 0.33
439, 0.21
440, 0.34
441, 0.19
442, 0.61
443, 0.31
444, 0.19
445, 0.17
446, 0.53
447, 0.23
448, 0.84
449, 0.28
450, 0.27
451, 0.65
452, 0.46
453, 0.44
454, 0.32
455, 0.20
456, 0.72
457, 0.50
458, 0.35
459, 0.25
460, 0.56
461, 0.18
462, 0.22
463, 0.19
464, 0.30
465, 0.23
466, 0.30
467, 0.54
468, 0.23
469, 0.43
470, 0.31
471, 0.41
472, 0.22
473, 0.44
474, 0.37
475, 0.31
476, 0.22
477, 0.34
478, 0.27
479, 0.24
480, 0.13
481, 0.35
482, 0.37
483, 0.22
484, 0.18
485, 0.78
486, 0.68
487, 0.48
488, 0.39
489, 0.48
490, 0.25
491, 0.33
492, 0.07
493, 0.22
494, 0.50
495, 0.50
496, 0.79
497, 0.67
498, 0.65
499, 0.43
500, 0.53
501, 0.29
502, 0.37
503, 0.26
504, 0.44
505, 0.17
506, 0.35
507, 0.09
508, 0.30
509, 0.33
510, 0.50
511, 0.25
512, 0.33
513, 0.13
514, 0.39
515, 0.61
516, 0.24
517, 0.50
518, 0.35
519, 0.83
520, 0.63
521, 0.28
522, 0.25
523, 0.54
524, 0.23
525, 0.58
526, 0.21
527, 0.29
528, 0.54
529, 0.24
530, 0.17
531, 0.48
532, 0.33
533, 0.28
534, 0.78
535, 0.39
536, 0.31
537, 0.25
538, 0.24
539, 0.57
540, 0.15
541, 0.07
542, 0.63
543, 0.50
544, 0.15
545, 0.58
546, 0.36
547, 0.08
548, 0.48
549, 0.11
550, 0.61
551, 0.34
552, 0.70
553, 0.18
554, 0.26
555, 0.17
556, 0.24
557, 0.18
558, 0.31
559, 0.26
560, 0.30
561, 0.21
562, 0.15
563, 0.21
